epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,13199.6,0.6235,1.08971,1.19773,0.9692,0.84037,0.69578,0.7641,0.46219,0.71562,0.6186,0.65692,0.32857,1.57358,3.53126,3.39879,1.91519,0.005248,0.005248,0.005248
50,13472.6,0.6159,1.0814,1.17578,0.96679,0.8155,0.70684,0.75838,0.46838,0.75159,0.60427,0.65869,0.33207,1.5699,3.60765,3.38585,1.91602,0.005149,0.005149,0.005149
51,13743.9,0.60736,1.06319,1.16197,0.96199,0.82801,0.70183,0.75806,0.46311,0.72026,0.59823,0.64607,0.32777,1.56575,3.6472,3.3365,1.92183,0.00505,0.00505,0.00505
52,14014.1,0.60359,1.05723,1.14922,0.96013,0.83054,0.69751,0.76354,0.46593,0.69749,0.62618,0.66337,0.33265,1.56219,3.65821,3.34418,1.91439,0.004951,0.004951,0.004951
53,14284.9,0.59576,1.03737,1.13012,0.95475,0.83809,0.67992,0.76079,0.46993,0.74401,0.59692,0.66686,0.33063,1.5606,3.653,3.29324,1.91439,0.004852,0.004852,0.004852
54,14555.8,0.59259,1.03083,1.12502,0.95519,0.83605,0.68595,0.76465,0.46599,0.7409,0.60822,0.66882,0.33199,1.56551,3.67487,3.29823,1.93033,0.004753,0.004753,0.004753
55,14828,0.58589,1.019,1.11413,0.95217,0.81909,0.69302,0.76061,0.46549,0.7252,0.61408,0.66393,0.33113,1.5766,3.67479,3.29147,1.93694,0.004654,0.004654,0.004654
56,15098.3,0.58272,1.01158,1.10997,0.95105,0.81299,0.68827,0.75587,0.46583,0.72413,0.6147,0.66539,0.33099,1.57803,3.69745,3.30378,1.94114,0.004555,0.004555,0.004555
57,15369.7,0.58058,1.0101,1.09773,0.94663,0.80787,0.6968,0.76104,0.47112,0.72626,0.62684,0.67715,0.33642,1.56846,3.69371,3.26897,1.93167,0.004456,0.004456,0.004456
58,15642.7,0.5778,1.00478,1.09363,0.94925,0.79227,0.70846,0.76386,0.47147,0.72471,0.6316,0.68129,0.33438,1.56118,3.72984,3.24364,1.93368,0.004357,0.004357,0.004357
59,15913,0.56443,0.98497,1.06923,0.94371,0.77897,0.71406,0.75725,0.47113,0.72367,0.63291,0.67453,0.33296,1.55872,3.71827,3.22746,1.93931,0.004258,0.004258,0.004258
60,16184.4,0.56232,0.97219,1.06505,0.94283,0.81965,0.6913,0.76053,0.47028,0.71872,0.63292,0.67301,0.33426,1.56247,3.71853,3.23091,1.94226,0.004159,0.004159,0.004159
61,16455.1,0.55977,0.97297,1.06129,0.93813,0.79054,0.68976,0.7517,0.46929,0.73528,0.61201,0.6799,0.33382,1.5557,3.73637,3.23917,1.93445,0.00406,0.00406,0.00406
62,16727.7,0.55471,0.96169,1.05497,0.93615,0.7989,0.68579,0.75126,0.47168,0.73595,0.61543,0.67889,0.33919,1.56363,3.73432,3.21657,1.94483,0.003961,0.003961,0.003961
63,16998.8,0.54682,0.94331,1.03532,0.93329,0.80652,0.68862,0.76251,0.47393,0.73622,0.61648,0.68118,0.33923,1.57077,3.76598,3.194,1.95217,0.003862,0.003862,0.003862
64,17269.2,0.54281,0.93137,1.02055,0.93176,0.80434,0.68349,0.75485,0.47685,0.73792,0.61423,0.6805,0.34182,1.56833,3.79199,3.19979,1.94975,0.003763,0.003763,0.003763
65,17541.4,0.54012,0.9307,1.01713,0.93322,0.80818,0.68084,0.75713,0.47449,0.7396,0.6169,0.67752,0.33943,1.56248,3.80165,3.1806,1.94544,0.003664,0.003664,0.003664
66,17810.6,0.53655,0.92601,1.01432,0.92885,0.81089,0.68304,0.75638,0.47784,0.73894,0.61974,0.68064,0.34161,1.56829,3.81036,3.17678,1.95268,0.003565,0.003565,0.003565
