epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,17416.1,0.59785,1.04558,1.09122,0.98367,0.83446,0.71267,0.77187,0.48016,0.75014,0.62849,0.68235,0.34874,1.54761,3.42019,3.44121,2.08789,0.004555,0.004555,0.004555
57,17726.2,0.60055,1.04519,1.09632,0.98547,0.83854,0.70507,0.77476,0.48027,0.75964,0.62318,0.68262,0.34824,1.55538,3.43776,3.50004,2.09659,0.004456,0.004456,0.004456
58,18042.4,0.59512,1.03865,1.08778,0.9825,0.831,0.71352,0.78316,0.48255,0.76744,0.60616,0.68223,0.35158,1.5617,3.44542,3.56494,2.10651,0.004357,0.004357,0.004357
59,18353.1,0.58647,1.01774,1.07222,0.97601,0.82336,0.7066,0.78019,0.48006,0.74826,0.62675,0.68513,0.35062,1.55412,3.46465,3.61216,2.10421,0.004258,0.004258,0.004258
60,18665,0.58177,1.00861,1.066,0.97372,0.82775,0.70314,0.7739,0.47472,0.76822,0.62524,0.68735,0.3498,1.55649,3.46927,3.61358,2.10711,0.004159,0.004159,0.004159
61,18979.1,0.57718,1.00407,1.05157,0.974,0.82572,0.69742,0.76641,0.47392,0.74666,0.6277,0.6787,0.34687,1.55623,3.47465,3.60965,2.10554,0.00406,0.00406,0.00406
62,19294.2,0.57337,0.99557,1.04448,0.96878,0.83725,0.68889,0.76628,0.47215,0.76195,0.63198,0.68046,0.3462,1.5494,3.4786,3.57733,2.10334,0.003961,0.003961,0.003961
63,19605.3,0.5608,0.97093,1.01989,0.96262,0.81806,0.70033,0.76628,0.47676,0.74154,0.63168,0.67875,0.34916,1.54486,3.48399,3.62119,2.09882,0.003862,0.003862,0.003862
64,19916.5,0.55816,0.9652,1.0169,0.96457,0.85121,0.68306,0.77177,0.47816,0.74758,0.62691,0.67863,0.34915,1.54422,3.50683,3.61937,2.10475,0.003763,0.003763,0.003763
65,20229.7,0.55553,0.9597,1.00618,0.96388,0.83457,0.69433,0.76827,0.47666,0.7582,0.63229,0.68287,0.34893,1.54391,3.51777,3.62116,2.10907,0.003664,0.003664,0.003664
66,20542.7,0.55484,0.95647,0.99791,0.96238,0.83356,0.69319,0.77023,0.4778,0.7526,0.62772,0.6781,0.34678,1.55037,3.53951,3.63227,2.11502,0.003565,0.003565,0.003565
67,20856,0.54444,0.94367,0.98653,0.95484,0.8346,0.69065,0.77063,0.47773,0.75801,0.62727,0.68051,0.34868,1.54849,3.56189,3.63131,2.12019,0.003466,0.003466,0.003466
68,21167.9,0.54236,0.93307,0.98408,0.95778,0.83008,0.69374,0.77047,0.48291,0.7627,0.63359,0.68678,0.35155,1.54907,3.56076,3.62493,2.12322,0.003367,0.003367,0.003367
69,21478.3,0.53679,0.92115,0.97054,0.95376,0.83185,0.69647,0.77006,0.48043,0.75363,0.62685,0.68116,0.35118,1.55217,3.58605,3.64608,2.12974,0.003268,0.003268,0.003268
70,21789.7,0.53647,0.92347,0.96819,0.95426,0.82282,0.69167,0.76856,0.48192,0.74843,0.62902,0.67985,0.35015,1.54676,3.59459,3.64782,2.12853,0.003169,0.003169,0.003169
71,22102.1,0.5288,0.91466,0.9503,0.95081,0.8354,0.69252,0.77273,0.48365,0.75576,0.62564,0.67927,0.34894,1.54693,3.60914,3.64411,2.13707,0.00307,0.00307,0.00307
